Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
10,12990,16046,17340,8930,9129,11156,8279,7219,23952,16111,0,4599,5557,3026,8399,25202,624,13750,8664,14397,9074,11576,9114,10044,13685,12412,10886,7811,20659,13167,13024,13275,12581,12183,13044,9029,17008,11534,10712,14712,22362,12969,17084,13846,12382,17808,8420,12124,20290,22682,14680,3714,18817,18219,9452,9717,8493,5494,11272,7168,7783,6468,2504,7919,28925,16569,28658,15903,3945,3708,12704,11887,13038,33750,9653,10318,13022,11513,4388,13455,11319,22309,24397,8443,22286,13145,22677,25608,32828,13046,16725,25961,7937,6633,19298,17646,24709,6640,9228,7429,25326,9937,12873,7353,8626,9906,13419,8795,12647,10301,13370,13616,12733
11,11915,16982,18277,11313,11510,10141,10661,9601,26335,12071,4599,0,554,6523,7691,26139,5439,10652,5566,11299,5975,8478,6016,6946,10587,9314,9812,6737,18587,12093,11950,12201,11506,14565,11969,6164,15934,10459,9638,12641,21288,11894,16008,12772,11307,16734,8697,11050,19216,21608,12608,2757,17743,17145,8378,4641,3418,3639,6361,2092,2707,1392,4001,2844,26853,16773,26586,14828,5980,2634,11630,10813,11962,32675,7582,5232,9924,8416,2317,12381,13702,21235,22325,7799,20214,12071,21603,24533,31754,11970,17662,23889,6124,3535,19963,16571,23635,9578,9472,5617,26263,8863,11798,5540,3550,4830,12345,13855,11573,9227,12295,12541,11658
12,11994,17134,18428,11464,11662,10292,10812,9752,26486,12222,5106,551,0,6674,7842,26290,5519,10803,5717,11450,6127,8630,6167,7097,10738,9465,9891,6816,18666,12172,12029,12280,11585,14716,12049,6315,16013,10539,9717,12719,21366,11973,16088,12851,11386,16813,8776,11128,19294,21687,12687,2908,17822,17223,8457,4792,3570,3790,6512,2243,2858,1544,4081,2995,26932,16852,26665,14907,6060,2713,11709,10892,12042,32754,7660,5383,10076,8568,2395,12460,13853,21314,22404,7950,20293,12150,21682,24613,31833,12050,17813,23968,6275,3686,20042,16650,23714,9729,9552,5768,26414,8942,11877,5691,3701,4981,12423,13934,11651,9306,12374,12620,11737
13,15357,13030,14324,7359,7558,9585,6708,5648,22382,13094,3026,6523,6677,0,5913,22186,2990,13501,8415,14149,8825,11327,8865,9795,13436,12164,13253,10179,23025,15534,15391,15643,14947,10612,15411,8780,19376,13901,13079,17080,24729,15336,19450,16214,14749,20176,10788,14490,22657,25049,17047,3465,21185,20586,11819,9921,8698,5299,11642,7372,7987,6673,4872,8124,31293,18936,31024,18270,6312,6076,15072,14254,15404,36117,12020,10512,12774,11265,6756,15823,9748,24677,26764,5957,24653,15512,25044,27975,35196,15412,13708,28328,6508,6384,21666,20012,27077,5307,11595,6998,22309,12305,15240,6922,8830,10111,15786,9233,15013,12669,15737,15982,15100
14,19184,5389,6685,6097,6295,2627,5445,4385,15907,5454,8385,7668,7822,5887,0,12312,8877,13289,8203,13936,8613,7867,8021,9583,11917,11951,17081,14005,25855,19361,19218,19469,18775,8265,19238,8568,23203,17728,16906,19908,28556,19163,23184,20040,18576,24002,15965,18318,26484,28876,19876,6265,25011,24413,15647,11067,9843,4053,12787,8516,9133,7818,10759,9269,34122,24041,33854,22097,12200,9902,18898,18082,19231,39943,14849,11658,12562,9746,9585,19650,8485,28503,29594,4560,27482,19339,28871,31802,39022,19239,6069,31158,5111,5561,27232,23839,30903,6063,16741,5752,12436,16132,19067,5675,9975,11256,19613,14556,18841,16495,19564,19809,18926
15,32913,9194,10140,13076,12882,10978,13044,13203,13308,9844,20388,21397,21552,18795,12312,0,20352,22004,21932,24614,22342,19065,19218,20937,19264,22629,30810,27735,39585,31233,31413,33199,32504,9206,32967,22297,36932,31457,30636,33639,42286,32893,34238,33770,32306,37732,28150,32047,40214,42606,33606,19692,38741,38143,29376,24796,23573,17782,26516,22247,22862,21548,22234,22998,47852,37771,47583,35826,23675,23632,31589,31811,31336,53673,28580,25387,21356,17824,23315,33379,10937,42233,43323,13950,41212,33069,42601,45531,52752,32968,9525,44887,17340,19290,40961,37569,44633,17118,27519,18097,125,29861,32796,18020,23705,24985,33343,25611,32571,30225,30923,33538,32657
16,12954,16019,17314,8895,9093,11120,8243,7183,23917,16084,624,5439,5522,2990,9267,25176,0,14372,9286,15020,9696,12199,9736,10667,14308,13035,10851,7776,20623,13132,12988,13240,12546,12147,13008,9652,16973,11498,10677,14677,22327,12933,17048,13811,12346,17773,7928,12089,20255,22647,14645,4337,18782,18184,9417,9681,8458,6118,11236,7132,7748,6433,2469,7884,28890,16533,28622,15867,3453,3673,12669,11852,13001,33714,9618,10283,13646,12137,4353,13420,11284,22274,24362,8947,22250,13110,22642,25573,32793,13009,16698,25925,8561,7255,19263,17610,24674,6605,8736,8053,25299,9902,12837,7976,8591,9871,13383,8393,12612,10266,13334,13580,12697
17,21036,12848,14143,17149,17347,14520,16497,15437,27801,12785,12607,9519,9674,12358,12071,22004,13230,0,4538,3567,4947,5360,5742,3030,4064,1541,18932,15857,22968,21213,21071,21321,20627,20401,21090,5389,25055,19580,18758,17021,29115,21015,25130,21892,20428,26201,17818,20170,28336,30728,16989,9531,26863,26265,17498,9334,8341,8019,9992,9825,8622,9670,13122,8434,30100,21155,29842,21067,15101,11754,20750,19933,21084,38124,11962,9242,1854,4912,11437,21501,19538,30355,25572,10307,23460,21191,30723,33654,37203,21092,13527,27147,8455,6922,24345,25692,32755,15413,18594,6593,22129,17983,20919,7290,8473,8840,21465,22975,20693,18347,21416,21662,20779
18,17104,12582,13876,13217,13415,10589,12566,11504,23868,12518,8675,5588,5742,8426,8139,21738,9298,5650,0,6298,205,3476,3858,1944,8921,4313,15000,11925,22560,17281,17138,17389,16695,16469,17158,4863,21123,15648,14826,16614,26476,17083,21197,17960,16495,21922,13885,16238,24404,26796,16582,5599,22931,22333,13567,8025,6802,4087,9585,5892,5903,5738,9190,6040,30827,20747,30558,20659,11169,7822,16818,16001,17151,37863,11555,8617,4923,7875,7504,17570,15606,26423,26299,8247,24188,17259,26791,29722,36942,17159,13261,27862,6573,2989,23936,21759,28823,11481,14661,4709,21862,14052,16986,5406,6934,8215,17532,19044,16761,14415,17483,17729,16846
19,22269,14228,15522,18381,18580,15753,17730,16670,29033,14165,13839,10752,10906,13591,13303,23384,14462,2203,5770,0,6180,6593,6974,4262,5474,2773,20165,17090,24201,22445,22303,22554,21859,21634,22322,6622,26287,20812,19990,18254,30347,22248,26362,23125,21661,27433,19050,21402,29569,31960,18222,10763,28096,27497,18731,10567,9574,9251,11225,11058,9854,10902,14354,9667,30051,22387,29795,22299,16333,12986,21982,21166,22315,39356,13195,10474,3921,6323,12670,22734,20771,31588,25523,11363,23412,22423,31955,34886,38435,22324,14907,27099,9688,8155,25578,26924,33987,16646,19826,7825,23508,19216,22152,8523,9706,10073,22698,24208,21925,19580,22649,22894,22011
