id,name,latitude,longitude,demands,demands_day
85,TPST Kauman,-7.5227627,112.5549353,246340,7946.451613
86,Ngoro Industri,-7.556973,112.615799,32910,1061.612903
87,Home Indostri Jedong,-7.5769877,112.6077653,7800,251.6129032
88,Samiajeng,-7.6586396,112.599254,10450,337.0967742
89,Kantor DLH,-7.5081149,112.5592798,15470,499.0322581
90,Pasar Gedeg,-7.4575605,112.3881835,8980,289.6774194
91,Pondok Bendungan Jati,-7.629835924,112.5464498,9920,320
92,UD. Nabilindo,-7.47046914,112.429363,4490,144.8387097
93,Perum Wikarsa ,-7.493928207,112.4406816,20330,655.8064516
94,SMPN 1 Pungging,-7.552861814,112.5581024,19910,642.2580645
95,Wilmar Padi Indonesia,-7.531509829,112.6022603,6792,219.0967742
96,Sopanusa,-7.563119526,112.6418171,3340,107.7419355
97,Lengkong,-7.437638481,112.4669482,1610,51.93548387
98,Desa Moldopuro,-7.491552815,112.5342394,7680,247.7419355
99,Pengadilan Negeri Mojokerto,-7.487119377,112.4270052,5980,192.9032258
100,Pasar Kemlagi,-7.396604809,112.3762241,8900,287.0967742
101,POLRES Kabupaten,-7.508804353,112.5396804,6740,217.4193548
102,Jl. Masjid,-7.520252137,112.5601474,340,10.96774194
103,SMKN 1 Sooko,-7.486403315,112.4271546,500,16.12903226
104,Puri Keraton,-7.520790906,112.461119,130,4.193548387
105,Puri Pertsada Regency,-7.531718475,112.4627468,4580,147.7419355
106,Jl. Pahlawan,-7.525167435,112.5584685,1640,52.90322581
107,Perum Pesona Residence,-7.475171299,112.5407313,1400,45.16129032
108,POLSEK Mojokerto,-7.518471424,112.560276,810,26.12903226
109,Jl. Budiutomo,-7.507169621,112.5412214,1240,40
110,Jl. Pemuda,-7.504690248,112.5613065,340,10.96774194
111,Jl. Hasanuddin,-7.528991963,112.555363,480,15.48387097
112,Jl. Hayamwuruk,-7.518596908,112.5608536,470,15.16129032
